ds,temp_c,precip_mm
2009-12-01,3.0,0.3
2009-12-02,7.9,3.5
2009-12-03,5.6,1.1
2009-12-04,4.0,1.3
2009-12-05,9.5,7.1
2009-12-06,10.3,6.7
2009-12-07,8.2,5.7
2009-12-08,6.9,2.4
2009-12-09,10.2,1.6
2009-12-10,6.9,0.3
2009-12-11,3.1,0.0
2009-12-12,5.3,0.0
2009-12-13,3.8,0.4
2009-12-14,2.0,0.8
2009-12-15,1.1,0.5
2009-12-16,-0.4,2.5
2009-12-17,1.8,1.0
2009-12-18,-0.0,1.5
2009-12-19,-2.3,0.0
2009-12-20,-0.6,2.1
2009-12-21,-0.5,5.1
2009-12-22,-0.4,1.4
2009-12-23,0.4,1.8
2009-12-24,3.7,0.0
2009-12-25,2.1,0.0
2009-12-26,6.3,0.2
2009-12-27,4.8,0.0
2009-12-28,1.2,0.0
2009-12-29,3.0,13.8
2009-12-30,4.2,6.9
2009-12-31,3.0,0.5
2010-01-01,-0.4,0.0
2010-01-02,0.6,0.0
2010-01-03,-0.5,0.0
2010-01-04,-3.0,0.0
2010-01-05,-2.0,2.3
2010-01-06,-0.3,10.3
2010-01-07,-3.1,0.0
2010-01-08,-2.8,0.0
2010-01-09,-1.5,0.0
2010-01-10,0.7,2.9
2010-01-11,-0.2,1.3
2010-01-12,-0.2,0.0
2010-01-13,-0.2,3.6
2010-01-14,1.1,2.8
2010-01-15,2.9,0.1
2010-01-16,5.2,4.4
2010-01-17,5.0,2.7
2010-01-18,3.8,0.0
2010-01-19,5.1,0.0
2010-01-20,2.7,4.9
2010-01-21,2.7,0.0
2010-01-22,6.5,2.4
2010-01-23,6.0,0.9
2010-01-24,3.6,0.3
2010-01-25,3.0,1.8
2010-01-26,0.4,0.0
2010-01-27,0.9,0.0
2010-01-28,4.6,0.7
2010-01-29,2.9,4.5
2010-01-30,-0.6,0.0
2010-01-31,-1.0,0.0
2010-02-01,0.7,0.0
2010-02-02,4.6,2.6
2010-02-03,3.7,2.2
2010-02-04,6.9,0.8
2010-02-05,6.4,4.8
2010-02-06,5.1,0.0
2010-02-07,4.1,0.0
2010-02-08,1.5,0.6
2010-02-09,1.6,0.0
2010-02-10,0.6,0.4
2010-02-11,0.1,0.0
2010-02-12,1.8,0.2
2010-02-13,1.4,0.2
2010-02-14,1.0,0.6
2010-02-15,0.8,0.0
2010-02-16,3.4,10.5
2010-02-17,2.4,2.1
2010-02-18,2.2,4.7
2010-02-19,1.9,0.2
2010-02-20,0.2,0.1
2010-02-21,1.6,6.3
2010-02-22,2.2,11.8
2010-02-23,2.3,1.8
2010-02-24,6.9,3.0
2010-02-25,7.1,5.7
2010-02-26,6.2,1.0
2010-02-27,6.5,6.0
2010-02-28,5.0,11.6
2010-03-01,4.0,0.0
2010-03-02,4.3,0.0
2010-03-03,2.9,0.0
2010-03-04,3.3,0.0
2010-03-05,2.1,0.0
2010-03-06,2.8,0.0
2010-03-07,-0.3,0.0
2010-03-08,1.0,0.0
2010-03-09,3.4,0.0
2010-03-10,2.9,0.0
2010-03-11,3.2,0.0
2010-03-12,3.9,2.5
2010-03-13,5.6,0.0
2010-03-14,6.3,0.0
2010-03-15,6.3,0.0
2010-03-16,5.5,0.0
2010-03-17,8.0,0.0
2010-03-18,9.6,0.5
2010-03-19,10.1,3.9
2010-03-20,11.0,2.1
2010-03-21,8.8,0.5
2010-03-22,8.4,0.2
2010-03-23,7.2,0.2
2010-03-24,11.1,1.8
2010-03-25,11.0,7.5
2010-03-26,9.1,0.5
2010-03-27,9.2,1.0
2010-03-28,8.3,3.0
2010-03-29,9.2,8.6
2010-03-30,7.9,5.8
2010-03-31,4.6,3.9
2010-04-01,4.9,0.8
2010-04-02,6.6,6.3
2010-04-03,7.1,4.1
2010-04-04,6.9,3.0
2010-04-05,7.9,0.3
2010-04-06,10.2,0.0
2010-04-07,8.9,0.3
2010-04-08,8.9,0.0
2010-04-09,11.2,0.0
2010-04-10,10.2,0.0
2010-04-11,7.5,0.0
2010-04-12,8.3,0.6
2010-04-13,7.9,0.0
2010-04-14,7.3,0.0
2010-04-15,7.5,0.0
2010-04-16,7.2,0.0
2010-04-17,7.7,0.0
2010-04-18,9.8,0.0
2010-04-19,9.9,0.0
2010-04-20,8.8,0.0
2010-04-21,6.7,0.0
