ds,y,temp_c,precip_mm,dow
2009-12-01,26176.0,3.0,0.3,1
2009-12-02,31891.0,7.9,3.5,2
2009-12-03,49241.0,5.6,1.1,3
2009-12-04,21307.0,4.0,1.3,4
2009-12-05,5119.0,9.5,7.1,5
2009-12-06,11615.0,10.3,6.7,6
2009-12-07,18039.0,8.2,5.7,0
2009-12-08,23146.0,6.9,2.4,1
2009-12-09,17929.0,10.2,1.6,2
2009-12-10,23715.0,6.9,0.3,3
2009-12-11,21394.0,3.1,0.0,4
2009-12-12,0.0,5.3,0.0,5
2009-12-13,12600.0,3.8,0.4,6
2009-12-14,45388.0,2.0,0.8,0
2009-12-15,27090.0,1.1,0.5,1
2009-12-16,24996.0,-0.4,2.5,2
2009-12-17,15583.0,1.8,1.0,3
2009-12-18,17435.0,-0.0,1.5,4
2009-12-19,0.0,-2.3,0.0,5
2009-12-20,6255.0,-0.6,2.1,6
2009-12-21,8781.0,-0.5,5.1,0
2009-12-22,14456.0,-0.4,1.4,1
2009-12-23,4590.0,0.4,1.8,2
2009-12-24,0.0,3.7,0.0,3
2009-12-25,0.0,2.1,0.0,4
2009-12-26,0.0,6.3,0.2,5
2009-12-27,0.0,4.8,0.0,6
2009-12-28,0.0,1.2,0.0,0
2009-12-29,0.0,3.0,13.8,1
2009-12-30,0.0,4.2,6.9,2
2009-12-31,0.0,3.0,0.5,3
2010-01-01,0.0,-0.4,0.0,4
2010-01-02,0.0,0.6,0.0,5
2010-01-03,0.0,-0.5,0.0,6
2010-01-04,10644.0,-3.0,0.0,0
2010-01-05,11321.0,-2.0,2.3,1
2010-01-06,7469.0,-0.3,10.3,2
2010-01-07,40631.0,-3.1,0.0,3
2010-01-08,12683.0,-2.8,0.0,4
2010-01-09,0.0,-1.5,0.0,5
2010-01-10,13425.0,0.7,2.9,6
2010-01-11,13964.0,-0.2,1.3,0
2010-01-12,21284.0,-0.2,0.0,1
2010-01-13,8829.0,-0.2,3.6,2
2010-01-14,13887.0,1.1,2.8,3
2010-01-15,8423.0,2.9,0.1,4
2010-01-16,0.0,5.2,4.4,5
2010-01-17,10041.0,5.0,2.7,6
2010-01-18,10371.0,3.8,0.0,0
2010-01-19,15324.0,5.1,0.0,1
2010-01-20,9564.0,2.7,4.9,2
2010-01-21,72914.0,2.7,0.0,3
2010-01-22,18561.0,6.5,2.4,4
2010-01-23,0.0,6.0,0.9,5
2010-01-24,8900.0,3.6,0.3,6
2010-01-25,10046.0,3.0,1.8,0
2010-01-26,22946.0,0.4,0.0,1
2010-01-27,17856.0,0.9,0.0,2
2010-01-28,11252.0,4.6,0.7,3
2010-01-29,10171.0,2.9,4.5,4
2010-01-30,0.0,-0.6,0.0,5
2010-01-31,10762.0,-1.0,0.0,6
2010-02-01,9246.0,0.7,0.0,0
2010-02-02,11153.0,4.6,2.6,1
2010-02-03,10290.0,3.7,2.2,2
2010-02-04,12851.0,6.9,0.8,3
2010-02-05,10396.0,6.4,4.8,4
2010-02-06,0.0,5.1,0.0,5
2010-02-07,11201.0,4.1,0.0,6
2010-02-08,8613.0,1.5,0.6,0
2010-02-09,10888.0,1.6,0.0,1
2010-02-10,3774.0,0.6,0.4,2
2010-02-11,9036.0,0.1,0.0,3
2010-02-12,7654.0,1.8,0.2,4
2010-02-13,0.0,1.4,0.2,5
2010-02-14,10942.0,1.0,0.6,6
2010-02-15,96585.0,0.8,0.0,0
2010-02-16,16719.0,3.4,10.5,1
2010-02-17,25069.0,2.4,2.1,2
2010-02-18,19883.0,2.2,4.7,3
2010-02-19,12592.0,1.9,0.2,4
2010-02-20,0.0,0.2,0.1,5
2010-02-21,5598.0,1.6,6.3,6
2010-02-22,13431.0,2.2,11.8,0
2010-02-23,11908.0,2.3,1.8,1
2010-02-24,22452.0,6.9,3.0,2
2010-02-25,26316.0,7.1,5.7,3
2010-02-26,7426.0,6.2,1.0,4
2010-02-27,0.0,6.5,6.0,5
2010-02-28,8500.0,5.0,11.6,6
2010-03-01,21460.0,4.0,0.0,0
2010-03-02,11902.0,4.3,0.0,1
2010-03-03,20403.0,2.9,0.0,2
2010-03-04,18563.0,3.3,0.0,3
2010-03-05,18269.0,2.1,0.0,4
2010-03-06,0.0,2.8,0.0,5
2010-03-07,10992.0,-0.3,0.0,6
2010-03-08,15568.0,1.0,0.0,0
2010-03-09,12352.0,3.4,0.0,1
2010-03-10,17970.0,2.9,0.0,2
2010-03-11,14207.0,3.2,0.0,3
2010-03-12,11041.0,3.9,2.5,4
2010-03-13,0.0,5.6,0.0,5
2010-03-14,4925.0,6.3,0.0,6
2010-03-15,15086.0,6.3,0.0,0
2010-03-16,12927.0,5.5,0.0,1
2010-03-17,78821.0,8.0,0.0,2
2010-03-18,23649.0,9.6,0.5,3
2010-03-19,13392.0,10.1,3.9,4
2010-03-20,0.0,11.0,2.1,5
2010-03-21,12413.0,8.8,0.5,6
2010-03-22,12794.0,8.4,0.2,0
2010-03-23,54470.0,7.2,0.2,1
2010-03-24,14355.0,11.1,1.8,2
2010-03-25,17165.0,11.0,7.5,3
2010-03-26,20907.0,9.1,0.5,4
2010-03-27,0.0,9.2,1.0,5
2010-03-28,14561.0,8.3,3.0,6
2010-03-29,25195.0,9.2,8.6,0
2010-03-30,19289.0,7.9,5.8,1
2010-03-31,13688.0,4.6,3.9,2
2010-04-01,17210.0,4.9,0.8,3
2010-04-02,0.0,6.6,6.3,4
2010-04-03,0.0,7.1,4.1,5
2010-04-04,0.0,6.9,3.0,6
2010-04-05,0.0,7.9,0.3,0
2010-04-06,13051.0,10.2,0.0,1
2010-04-07,23542.0,8.9,0.3,2
2010-04-08,26795.0,8.9,0.0,3
2010-04-09,9100.0,11.2,0.0,4
2010-04-10,0.0,10.2,0.0,5
